talker_2	talker_1	phone_2	phone_1	by	score	n
27	32	hh	dh	iy-ae	0.354166666667	48
27	32	hh	k	iy-ae	0.755208333333	192
27	32	k	dh	iy-ae	0.708333333333	24
27	32	k	hh	iy-ae	0.759375	320
27	33	dh	hh	iy-ae	0.568	250
27	33	dh	k	iy-ae	0.853333333333	150
27	33	hh	dh	iy-ae	0.44	25
27	33	hh	k	iy-ae	0.766666666667	150
27	33	k	dh	iy-ae	0.72	25
27	33	k	hh	iy-ae	0.592	250
29	1	dh	hh	iy-ae	0.603571428571	280
29	1	dh	k	iy-ae	1.0	32
29	1	hh	dh	iy-ae	0.708333333333	168
29	1	hh	k	iy-ae	0.928571428571	56
29	1	k	dh	iy-ae	0.947916666667	96
29	1	k	hh	iy-ae	0.646428571429	280
29	20	dh	hh	iy-ae	0.165625	320
29	20	dh	k	iy-ae	0.5625	16
29	20	hh	dh	iy-ae	0.927083333333	192
29	20	hh	k	iy-ae	0.6875	32
29	20	k	dh	iy-ae	0.979166666667	48
29	20	k	hh	iy-ae	0.725	160
29	23	dh	hh	iy-ae	0.957777777778	900
29	23	dh	k	iy-ae	0.9625	80
29	23	hh	dh	iy-ae	0.483333333333	540
29	23	hh	k	iy-ae	0.75	72
29	23	k	dh	iy-ae	0.875	240
29	23	k	hh	iy-ae	0.963888888889	360
29	24	dh	hh	iy-ae	0.626666666667	600
29	24	dh	k	iy-ae	0.583333333333	24
29	24	hh	dh	iy-ae	0.447222222222	360
29	24	hh	k	iy-ae	0.525	40
29	24	k	dh	iy-ae	0.930555555556	72
29	24	k	hh	iy-ae	0.72	200
29	25	dh	hh	iy-ae	0.6275	400
29	25	dh	k	iy-ae	0.9375	32
29	25	hh	dh	iy-ae	0.8125	240
29	25	hh	k	iy-ae	0.9625	80
29	25	k	dh	iy-ae	1.0	96
29	25	k	hh	iy-ae	0.8525	400
29	26	dh	hh	iy-ae	0.3	70
29	26	dh	k	iy-ae	1.0	8
29	26	hh	dh	iy-ae	0.547619047619	42
29	26	hh	k	iy-ae	1.0	56
29	26	k	dh	iy-ae	0.833333333333	24
29	26	k	hh	iy-ae	0.860714285714	280
29	27	dh	hh	iy-ae	0.21	100
29	27	dh	k	iy-ae	1.0	12
29	27	hh	dh	iy-ae	0.816666666667	60
29	27	hh	k	iy-ae	0.983333333333	120
29	27	k	dh	iy-ae	1.0	36
29	27	k	hh	iy-ae	0.881666666667	600
29	30	dh	hh	iy-ae	0.822222222222	900
29	30	dh	k	iy-ae	1.0	54
29	30	hh	dh	iy-ae	0.4	540
29	30	hh	k	iy-ae	1.0	60
29	30	k	dh	iy-ae	0.969135802469	162
29	30	k	hh	iy-ae	0.99	300
29	31	dh	hh	iy-ae	0.26	500
